Contributor_login;repository_name;average_issues_comments_length;average_time_to_close_issues;issues_closed;issues_opened;issues_participated;issues_closed_per_day;average_comments_per_issue;early_additions;early_deletions;late_additions;late_deletions;change_bursts;biggest_burst_length;inactive_period_within_active_period;tot_additions;tot_deletions;activity_period_in_days;total_file_additions;total_file_deletions;total_file_modifications;total_file_changes;commits_authored;total_lines_of_code_changed;violations_added;violations_eliminated
iluwatar;iluwatar/java-design-patterns;153.980449658;10.8117008435;382;251;453;0.323728813559;2.2582781457;399;1;0;5287;29;47;0.774006622517;125736;94338;1208;1687;266;6708;9176;951;78555;8618;1355
npathai;iluwatar/java-design-patterns;198.847972973;11.7872058824;34;44;133;0.028813559322;2.22556390977;1;1;31;27;7;12;0.86815920398;14378;8828;402;137;17;547;715;115;11412;1278;232
mikulucky;iluwatar/java-design-patterns;97.5;NA;0;6;8;0.0;1.0;618;135;113;32;2;7;0.631578947368;41066;3976;38;117;17;905;1045;61;4174;479;86
fluxw42;iluwatar/java-design-patterns;290.333333333;0.682222222222;1;9;4;0.000847457627119;1.5;1059;9;1;1;1;10;0.783333333333;9745;954;60;154;1;148;303;58;9232;1099;41
thomasoss;iluwatar/java-design-patterns;259.0;NA;0;3;4;0.0;2.75;0;0;0;0;0;0;100;0;0;0;30;16;299;348;42;2687;240;142
gopinath-langote;iluwatar/java-design-patterns;245.8;NA;0;4;7;0.0;1.42857142857;343;7;57;18;2;4;0.755555555556;4501;5864;45;43;28;95;181;38;920;94;9
markusmo3;iluwatar/java-design-patterns;446.303921569;13.6459156379;27;17;49;0.0228813559322;2.08163265306;74;86;73;62;3;2;0.972927241963;8939;6294;591;147;2;388;538;31;0;0;0
piyushchaudhari04;iluwatar/java-design-patterns;167.142857143;NA;0;1;3;0.0;2.33333333333;84;8;271;9;1;5;0.844827586207;2274;1112;58;60;9;295;365;28;1906;233;9
isabiq;iluwatar/java-design-patterns;423.666666667;NA;0;1;3;0.0;1.0;1211;93;111;87;0;1;0.933333333333;1322;360;30;19;1;33;55;24;1048;156;22
inbravo;iluwatar/java-design-patterns;170.0;NA;0;2;5;0.0;2.2;27;28;8;8;3;2;0.959677419355;3928;4868;248;24;2;55;85;24;4835;409;122
Crossy147;iluwatar/java-design-patterns;153.285714286;NA;0;4;7;0.0;2.0;24;5;274;55;2;4;0.97619047619;37300;11210;420;101;1;625;731;24;712;93;12
joshzambales;iluwatar/java-design-patterns;139.0;5.905;1;2;1;0.000847457627119;2.0;1145;324;51;38;0;1;0.0;1196;724;2;25;0;35;71;23;1102;266;91
kemitix;iluwatar/java-design-patterns;58.5;NA;0;1;2;0.0;2.0;66;0;8;11;0;1;0.911111111111;4048;1036;45;55;0;237;293;18;1253;116;21
genericmethod;iluwatar/java-design-patterns;151.5;NA;0;1;2;0.0;3.0;123;158;234;1;2;4;0.837209302326;12882;4000;43;124;21;245;398;18;7591;842;209
TylerMcConville;iluwatar/java-design-patterns;200.0;NA;0;1;2;0.0;2.0;218;0;611;105;0;1;0.954022988506;25173;2334;87;70;7;273;357;17;1290;191;55
colinbut;iluwatar/java-design-patterns;392.4;NA;0;1;3;0.0;3.33333333333;1018;2;10;14;1;3;0.739130434783;3230;2326;23;42;4;110;164;16;293;0;0
JuhoKang;iluwatar/java-design-patterns;181.666666667;NA;0;2;4;0.0;1.5;94;0;973;108;2;2;0.892307692308;19861;2656;65;33;5;398;436;15;844;70;38
zafarella;iluwatar/java-design-patterns;242.066666667;8.32972222222;1;8;7;0.000847457627119;2.14285714286;1011;65;2;2;2;1;0.954954954955;2000;1596;111;15;2;22;39;14;1187;89;5
m-ezzat;iluwatar/java-design-patterns;56.5;3.03796296296;3;16;2;0.00254237288136;1.0;17;17;36;28;2;6;0.586206896552;356;688;29;0;0;101;101;13;212;0;0
ruslanpa;iluwatar/java-design-patterns;38.0;NA;0;2;1;0.0;2.0;18;36;300;275;1;1;0.4;357;746;5;0;0;30;30;13;730;17;18
4lexis;iluwatar/java-design-patterns;22.5;NA;0;2;2;0.0;1.0;22;0;33;31;1;1;0.84;303;118;25;13;0;19;32;13;172;25;1
iamrichardjones;iluwatar/java-design-patterns;236.0;NA;0;3;2;0.0;2.5;161;113;26;6;1;1;0.625;189;240;8;1;0;10;11;11;309;36;25
gwildor28;iluwatar/java-design-patterns;156.714285714;NA;0;1;2;0.0;7.0;273;34;236;11;2;1;0.857142857143;3379;1128;42;36;2;158;199;11;256;66;0
SrdjanPaunovic;iluwatar/java-design-patterns;34.0;NA;0;1;2;0.0;1.0;281;0;40;26;2;1;0.897435897436;734;174;39;45;0;54;99;11;578;79;6
mafagafogigante;iluwatar/java-design-patterns;177.979591837;NA;0;12;17;0.0;2.88235294118;7;22;9;3;2;1;0.980716253444;336;350;363;0;0;11;11;11;68;1;1
yusufaytas;iluwatar/java-design-patterns;34.0;NA;0;1;1;0.0;3.0;96;5;4;1;1;1;0.0;115;42;3;4;0;10;14;11;89;17;0
qpi;iluwatar/java-design-patterns;236.5;NA;0;1;3;0.0;2.0;93;7;30;9;2;1;0.875;566;134;40;7;0;15;22;10;0;0;0
kapinuss;iluwatar/java-design-patterns;53.0;1.71805555556;1;3;1;0.000847457627119;3.0;0;0;0;0;0;0;100;0;0;0;2;0;9;11;10;0;0;0
ankurkaushal;iluwatar/java-design-patterns;105.0;NA;0;2;1;0.0;1.0;1748;1770;6988;7095;0;1;0.0;8736;17730;2;0;0;413;413;9;16014;260;7
robertt240;iluwatar/java-design-patterns;99.0;NA;0;1;2;0.0;1.5;339;40;0;0;0;1;0.0;339;80;1;7;0;14;21;9;0;0;0
sideris;iluwatar/java-design-patterns;79.6;NA;0;2;1;0.0;5.0;1997;13;80;898;0;1;0.0;2077;1822;2;11;2;11;24;9;177;63;0
amit2103;iluwatar/java-design-patterns;135.538461538;0.314444444444;1;4;10;0.000847457627119;3.9;182;1;5;4;1;2;0.428571428571;3603;1124;7;34;9;149;195;9;2919;400;49
trautonen;iluwatar/java-design-patterns;351.5;NA;0;1;2;0.0;1.0;340;0;367;1;0;1;0.333333333333;707;2;3;14;0;15;29;8;642;148;22
hoswey;iluwatar/java-design-patterns;223.7;3.05866666667;5;12;9;0.00423728813559;1.11111111111;308;0;114;69;2;1;0.882352941176;10095;4168;68;76;2;264;347;8;4977;522;149
llitfkitfk;iluwatar/java-design-patterns;220.0;NA;0;3;4;0.0;2.0;0;0;36;31;0;1;0.909090909091;2786;160;33;25;0;4;29;8;0;0;0
qza;iluwatar/java-design-patterns;24.0;NA;0;1;1;0.0;1.0;70;1;573;124;1;2;0.2;1043;316;5;16;0;17;33;8;279;41;0
pitsios-s;iluwatar/java-design-patterns;142.5;NA;0;3;1;0.0;2.0;825;143;15;0;0;1;0.944444444444;870;308;72;11;2;13;27;8;688;80;7
igeligel;iluwatar/java-design-patterns;253.5;NA;0;1;2;0.0;2.0;475;0;1347;151;0;1;0.857142857143;1867;302;21;25;0;18;43;7;0;0;0
vehpsr;iluwatar/java-design-patterns;859.2;17.2441666667;1;5;4;0.000847457627119;1.25;140;2;399;3;1;1;0.636363636364;845;18;11;26;0;9;35;6;549;113;0
christofferh;iluwatar/java-design-patterns;658.0;NA;0;1;2;0.0;1.0;91;17;101;120;0;1;0.888888888889;192;274;18;0;0;15;15;5;0;0;0
hannespernpeintner;iluwatar/java-design-patterns;202.5;20.6363888889;1;2;3;0.000847457627119;5.33333333333;931;258;737;545;0;1;0.333333333333;1668;1606;3;9;0;18;27;5;2314;99;10
leogtzr;iluwatar/java-design-patterns;148.25;NA;0;1;1;0.0;4.0;14;9;3;5;0;1;0.9;363;704;30;13;13;12;38;5;380;40;40
mookkiah;iluwatar/java-design-patterns;210.0;13.5093055556;2;9;6;0.00169491525424;1.5;6;4;90;37;1;1;0.882352941176;224;234;34;1;0;10;11;5;0;0;0
waisuan;iluwatar/java-design-patterns;197.894736842;11.6533333333;2;4;6;0.00169491525424;3.16666666667;853;12;505;195;0;1;0.6;1358;414;5;21;0;23;52;5;1196;290;1
Alwayswithme;iluwatar/java-design-patterns;83.0;NA;0;1;1;0.0;2.0;7;2;2;1;1;1;0.0;12;18;3;0;0;7;7;4;21;3;2
MSaifAsif;iluwatar/java-design-patterns;79.5;NA;0;2;2;0.0;1.0;297;2;3;3;0;1;0.0;300;10;2;8;0;4;12;4;198;26;0
Tschis;iluwatar/java-design-patterns;211.0;NA;0;2;2;0.0;1.5;69;39;0;0;0;1;0.0;69;78;1;0;0;6;6;4;0;0;0
dmitraver;iluwatar/java-design-patterns;263.0;NA;0;1;2;0.0;2.0;7;0;2;1;0;1;0.8125;14;2;16;0;0;4;4;3;0;0;0
joningiwork;iluwatar/java-design-patterns;NA;NA;0;0;0;0;NA;127;1;1;0;0;1;0.0;128;2;2;6;0;3;9;3;128;19;0
Rzeposlaw;iluwatar/java-design-patterns;88.2;NA;0;1;3;0.0;1.66666666667;449;34;0;0;0;1;0.0;449;68;1;9;0;9;18;3;0;0;0
kirill-vlasov;iluwatar/java-design-patterns;NA;NA;0;3;0;0.0;NA;8;9;30;9;0;1;0.6;38;36;5;0;0;14;14;3;56;0;0
LuigiCortese;iluwatar/java-design-patterns;232.0;NA;0;2;3;0.0;2.0;1;1;70;25;0;1;0.846153846154;71;52;13;0;0;3;3;3;2;0;0
ytian90;iluwatar/java-design-patterns;NA;NA;0;1;0;0.0;NA;3721;484;0;0;0;1;0.0;3721;968;1;96;0;457;553;3;2502;232;42
alexsomai;iluwatar/java-design-patterns;NA;NA;0;1;0;0.0;NA;0;0;0;0;0;0;100;0;0;0;0;0;2;2;2;0;0;0
Amarnath510;iluwatar/java-design-patterns;273.703703704;NA;0;2;4;0.0;6.75;0;0;0;0;0;0;100;0;0;0;0;0;2;2;2;0;0;0
dmitz;iluwatar/java-design-patterns;21.0;NA;0;1;1;0.0;1.0;541;0;3;2;0;1;0.5;544;4;4;6;0;4;10;2;335;61;0
dosdebug;iluwatar/java-design-patterns;189.142857143;NA;0;2;5;0.0;1.4;11;9;0;0;0;1;0.0;11;18;1;0;0;9;9;2;0;0;0
Harshrajsinh;iluwatar/java-design-patterns;NA;NA;0;2;0;0.0;NA;4;2;4;2;0;1;0.6;8;8;5;0;0;2;2;2;0;0;0
Valdar-Soft;iluwatar/java-design-patterns;NA;NA;0;1;0;0.0;NA;113;103;0;0;0;1;0.0;113;206;1;0;0;6;6;2;0;0;0
pnowy;iluwatar/java-design-patterns;45.0;NA;0;2;2;0.0;1.0;2;1;0;0;0;1;0.0;2;2;1;0;0;3;3;2;0;0;0
annemsujan;iluwatar/java-design-patterns;61.0;NA;0;1;2;0.0;1.0;18;0;32;20;0;1;0.0;50;40;2;2;1;1;4;2;70;7;3
sumityadav6541;iluwatar/java-design-patterns;25.0;NA;0;1;1;0.0;1.0;1;1;0;0;0;1;0.0;1;2;1;178;12;93;283;2;1104;137;58
tomroy;iluwatar/java-design-patterns;204.5;NA;0;1;2;0.0;1.0;41;24;1;1;0;1;0.333333333333;42;50;3;0;0;3;5;2;22;9;0
yosfik;iluwatar/java-design-patterns;NA;NA;0;1;0;0.0;NA;1;1;2;2;0;1;0.0;3;6;2;0;0;2;2;2;0;0;0
codinghog;iluwatar/java-design-patterns;192.625;NA;0;3;5;0.0;1.6;3;2;0;0;0;1;0.0;3;4;1;0;0;2;2;2;5;0;0
dzmitryh;iluwatar/java-design-patterns;NA;NA;0;1;0;0.0;NA;2;5;0;0;0;1;0.0;2;10;1;0;0;2;2;2;0;0;0
mbirkenkamp;iluwatar/java-design-patterns;NA;NA;0;1;0;0.0;NA;9;3;0;0;0;1;0.0;9;6;1;0;0;2;2;2;12;7;0
mortezaadi;iluwatar/java-design-patterns;410.0;NA;0;1;1;0.0;1.0;75;1;11;0;0;1;0.0;86;2;2;2;0;3;5;2;87;13;0
